target_id,step,time,x,y,z,type
0,0,0.0,1.0,1.0,1.2,filtered
0,1,0.1,1.0316263869112474,1.0363115397273113,1.2078534887130083,filtered
0,2,0.2,1.0585518983134405,1.0599387392914186,1.2216843974342737,filtered
0,3,0.30000000000000004,1.0857537741948067,1.0875920423859242,1.2389315398643381,filtered
0,4,0.4,1.114109008666787,1.1192862407218116,1.241893283255113,filtered
0,5,0.5,1.1469613273882595,1.1518059555347622,1.255227525291567,filtered
0,6,0.6000000000000001,1.1853117757178884,1.190218777568193,1.2711615271103816,filtered
0,7,0.7000000000000001,1.223368035046712,1.228550146382915,1.2869109327270047,filtered
0,8,0.8,1.2639619766307846,1.2695509567260905,1.305412690261868,filtered
0,9,0.9,1.310304377906641,1.3131073125468504,1.3364498168940584,filtered
0,10,1.0,1.3528271163130912,1.3574077697451956,1.3585805712843997,filtered
0,11,1.1,1.3939709342606834,1.3995283486921117,1.378601720732123,filtered
0,12,1.2000000000000002,1.440305602103911,1.4432694156751775,1.4038638342603,filtered
0,13,1.3,1.4826178812973014,1.487436643382368,1.422213951166731,filtered
0,14,1.4000000000000001,1.5223081023304053,1.5281844228872867,1.446203015785255,filtered
0,15,1.5,1.565238142935091,1.5719541791485656,1.466176033946382,filtered
0,16,1.6,1.6065533029389976,1.6140888229059698,1.4903207029260508,filtered
0,17,1.7000000000000002,1.6478209681838192,1.652889672809992,1.5141386036709032,filtered
0,18,1.8,1.6902907693587683,1.6940006080467147,1.5373032047390578,filtered
0,19,1.9000000000000001,1.7332159263234301,1.7359328033051118,1.561834679748513,filtered
0,20,2.0,1.7730430383681495,1.7748109773564404,1.5889110674332492,filtered
0,21,2.1,1.8120963108399009,1.8127853613750708,1.6108882831498674,filtered
0,22,2.2,1.84815579771986,1.850914081879512,1.634024580021373,filtered
0,23,2.3000000000000003,1.8922999439599886,1.889240732901942,1.6565189768276891,filtered
0,24,2.4000000000000004,1.9294894343922608,1.928835573463303,1.677849274485159,filtered
0,25,2.5,1.9671303716207786,1.9671444962046865,1.6990951698922547,filtered
0,26,2.6,2.0147825661697585,1.9887489183694782,1.7538616557074924,filtered
0,27,2.7,2.0528727683806154,2.0305853657971933,1.7701991380994502,filtered
0,28,2.8000000000000003,2.0976476576202865,2.0736191301281104,1.788196879903384,filtered
0,29,2.9000000000000004,2.141196994649149,2.119299738953821,1.8067462393479514,filtered
0,30,3.0,2.1750057913850567,2.160385203463518,1.822934061251107,filtered
0,31,3.1,2.2179716835164327,2.1997787752915414,1.8409723952766839,filtered
0,32,3.2,2.2577107974938078,2.239324875002692,1.8584887825561123,filtered
0,33,3.3000000000000003,2.2962309014020024,2.2763355891773616,1.8792862315228245,filtered
0,34,3.4000000000000004,2.3407393297736836,2.325192939384784,1.8842530864075957,filtered
0,35,3.5,2.3635125416975593,2.339684943544744,1.9418050631406005,filtered
0,36,3.6,2.405034328269429,2.3875058921180203,1.9554485887966884,filtered
0,37,3.7,2.4428139069553456,2.4280384226336325,1.973567465530326,filtered
0,38,3.8000000000000003,2.480473793860842,2.4707433354962167,1.9896374443808602,filtered
0,39,3.9000000000000004,2.520744800043865,2.5115933881891634,2.004971912248483,filtered
0,40,4.0,2.559219257194423,2.554865201531585,2.0203163324956206,filtered
0,41,4.1000000000000005,2.5963609643691736,2.5842313437607056,2.0518028265237844,filtered
0,42,4.2,2.6434287960475857,2.6305634774274993,2.062353846669347,filtered
0,43,4.3,2.686919662924527,2.6706339289360486,2.0804766924694382,filtered
0,44,4.4,2.7310228669638765,2.719226522810626,2.0927197319238413,filtered
0,45,4.5,2.7621053711601404,2.768627959393478,2.09578834052072,filtered
0,46,4.6000000000000005,2.8062363178250527,2.8200164639912413,2.0982687875951824,filtered
0,47,4.7,2.8483875831592878,2.8636057948546787,2.1133927217888147,filtered
0,48,4.800000000000001,2.8816943393874115,2.9053140534928685,2.130787553914534,filtered
0,49,4.9,2.8988022102922444,2.974755219320596,2.101616296186282,filtered
0,50,5.0,2.9098075738498514,3.030673156126944,2.0908174888128026,filtered
1,0,0.0,4.0,1.0,1.0,filtered
1,1,0.1,3.9853580947483924,1.0379562495182688,1.005841411584585,filtered
1,2,0.2,3.969998048177523,1.0551884172989558,1.0763103608745401,filtered
1,3,0.30000000000000004,3.9557716068495803,1.09399147786967,1.0805664259756087,filtered
1,4,0.4,3.9375409403007744,1.1330902093911288,1.0902709638545247,filtered
1,5,0.5,3.922470719878135,1.1690837211943717,1.0959663594109015,filtered
