target_id,step,time,x,y,z,type
0,0,0.0,1.0,1.0,1.2,filtered
0,1,0.1,1.0316263869112474,1.0363115397273113,1.2078534887130083,filtered
0,2,0.2,1.0499701950314329,1.0470661843684068,1.232311446630724,filtered
0,3,0.30000000000000004,1.0825048424749781,1.0841410813378043,1.230147961512947,filtered
0,4,0.4,1.1207081804705734,1.1007372539014462,1.2855299876640949,filtered
0,5,0.5,1.148498921904176,1.137020377739623,1.2968353465928084,filtered
0,6,0.6000000000000001,1.184441576811727,1.1744181731943086,1.3155691244487,filtered
0,7,0.7000000000000001,1.2427383516701178,1.1938842557987692,1.3895032300430776,filtered
0,8,0.8,1.2846098025154669,1.2405865616264102,1.3979763177024913,filtered
0,9,0.9,1.3240436676123732,1.2902564849965519,1.4077624943556337,filtered
0,10,1.0,1.363436248134703,1.3321231740230892,1.4291005344902152,filtered
0,11,1.1,1.398291706660743,1.3731714780526476,1.4209883594803245,filtered
0,12,1.2000000000000002,1.4241818890849303,1.4081816877358881,1.4072414525700045,filtered
0,13,1.3,1.4788154032465608,1.4674795315642293,1.428839899432638,filtered
0,14,1.4000000000000001,1.5234041248122556,1.5262304413329115,1.4284614581747141,filtered
0,15,1.5,1.5611853677860283,1.5749701814059085,1.4463949092332455,filtered
0,16,1.6,1.6052886597036065,1.6048404577335333,1.4942216754991982,filtered
0,17,1.7000000000000002,1.6515231686235954,1.6575094396976244,1.5037122120431465,filtered
0,18,1.8,1.6970417995517317,1.6904571143356153,1.5466155500944256,filtered
0,19,1.9000000000000001,1.7365370857571245,1.7419814138302572,1.5484180468482676,filtered
0,20,2.0,1.774646933095228,1.7926841138518395,1.5544880653724635,filtered
0,21,2.1,1.8322647125345124,1.8120221338863642,1.6196295444641184,filtered
0,22,2.2,1.8742632085265012,1.8540985390247795,1.6414646212916737,filtered
0,23,2.3000000000000003,1.8973519212742618,1.8748906207531635,1.6805838627510166,filtered
0,24,2.4000000000000004,1.9430057799471612,1.919872740340769,1.705439270332895,filtered
0,25,2.5,1.9995370945305904,1.9409644366205887,1.7612071284385675,filtered
0,26,2.6,2.049410433292327,1.9815769178805698,1.7754954096147368,filtered
0,27,2.7,2.0835059774717837,2.031101348864792,1.777917091162854,filtered
0,28,2.8000000000000003,2.1195817156162238,2.0826626715864855,1.7861578078035054,filtered
0,29,2.9000000000000004,2.1477203699920255,2.129270187124799,1.8072659868402021,filtered
0,30,3.0,2.1828424597099163,2.169694780945289,1.8246194177795485,filtered
0,31,3.1,2.2281953757751616,2.2072511927385405,1.852222780125641,filtered
0,32,3.2,2.251075068385816,2.2427994323655476,1.881038779280868,filtered
0,33,3.3000000000000003,2.272559282077999,2.291124155020994,1.8766297209940015,filtered
0,34,3.4000000000000004,2.2895488516258684,2.36109163121955,1.8343504090993028,filtered
0,35,3.5,2.3287048311977254,2.42699632615838,1.804317002844421,filtered
0,36,3.6,2.3675102537574726,2.4597716063923634,1.8232599816200896,filtered
0,37,3.7,2.3725721615931166,2.512500697918822,1.8232990237115736,filtered
0,38,3.8000000000000003,2.4232273879092388,2.531228708293868,1.8654223117906825,filtered
0,39,3.9000000000000004,2.455945628365487,2.579302830577703,1.8686733567678162,filtered
0,40,4.0,2.499289382744984,2.623751209588895,1.8864774872019234,filtered
0,41,4.1000000000000005,2.5479218694117645,2.6504356925894212,1.9259970956933876,filtered
0,42,4.2,2.6037626789332107,2.6799391939872854,1.9625570756388562,filtered
0,43,4.3,2.548605980987684,2.7549982128402406,1.9392363096457907,filtered
0,44,4.4,2.568600313665906,2.8239914926435503,1.9024988102276523,filtered
0,45,4.5,2.5817465068638197,2.8707006665989527,1.8909531551567866,filtered
0,46,4.6000000000000005,2.608667573945894,2.9487499465877614,1.8423324976311404,filtered
0,47,4.7,2.60529737461166,3.0281517207432382,1.7598823300908923,filtered
0,48,4.800000000000001,2.6802141694341644,3.0564427410409407,1.7886291799085439,filtered
0,49,4.9,2.643102140944776,3.1294314587584258,1.7303311637006558,filtered
0,50,5.0,2.6275468634413577,3.2032445276302113,1.6777192988527936,filtered
1,0,0.0,4.0,1.0,1.0,filtered
1,1,0.1,3.9853580947483924,1.0379562495182688,1.005841411584585,filtered
1,2,0.2,3.9356712350494916,1.029443307452932,1.1904612185508725,filtered
1,3,0.30000000000000004,3.883106281511872,1.0841509315822977,1.2037971120268622,filtered
1,4,0.4,3.8751196828080974,1.1179874823073848,1.2407196608149527,filtered
1,5,0.5,3.8739356778071476,1.1502713918357121,1.2426255525605616,filtered
