target_id,step,time,x,y,z,type
0,0,0.0,1.0373254564983887,1.0443071965628357,1.2067987567987566,estimated
0,1,0.1,1.0679377013963478,1.0851235230934477,1.2017482517482516,estimated
0,2,0.2,1.093337911520935,1.0956977223641833,1.2483299282668536,estimated
0,3,0.30000000000000004,1.1298811442564987,1.1314774601777842,1.2429397824591886,estimated
0,4,0.4,1.174688124714928,1.1861767451643068,1.2444538483595304,estimated
0,5,0.5,1.208372338431516,1.2291374389148453,1.2718562572513268,estimated
0,6,0.6000000000000001,1.2624554095673992,1.2718963502304197,1.2851062076707083,estimated
0,7,0.7000000000000001,1.292438382002623,1.3042472620331451,1.3083574360641137,estimated
0,8,0.8,1.3244726421149715,1.3481596897416432,1.3338740002935794,estimated
0,9,0.9,1.383220863766037,1.3970723417083897,1.3715859916448583,estimated
0,10,1.0,1.4054131371637641,1.4127984672058165,1.3868639006871624,estimated
0,11,1.1,1.4392508485029358,1.4505427655614653,1.4123019044602112,estimated
0,12,1.2000000000000002,1.488550345665223,1.4914594903908076,1.4276378247974637,estimated
0,13,1.3,1.568216661202161,1.443515107997209,1.6625495531272747,estimated
0,14,1.4000000000000001,1.57109359017904,1.56650566190849,1.5004878386644531,estimated
0,15,1.5,1.6253734322603801,1.6155639476026122,1.532009781146559,estimated
0,16,1.6,1.6533375908593124,1.6437208635715264,1.5397261331153194,estimated
0,17,1.7000000000000002,1.6946271947410898,1.6790030574483776,1.576683895027358,estimated
0,18,1.8,1.7454797215302906,1.6591170761783023,1.709221478244157,estimated
0,19,1.9000000000000001,1.7735373424783594,1.7593036614266593,1.6258637172973005,estimated
0,20,2.0,1.856661838948747,1.8302072511066774,1.5907928630033714,estimated
0,21,2.1,1.8781557410150516,1.866566662377187,1.6041645663360828,estimated
0,22,2.2,1.9009648742569456,1.8925015943705137,1.6569303201196035,estimated
0,23,2.3000000000000003,1.9518335377005964,1.9458851349351278,1.639618648247741,estimated
