target_id,step,time,x,y,z,type
0,0,0.0,2.495972073039742,1.0749194414607948,1.1663947163947161,estimated
0,1,0.1,2.495972073039742,1.0749194414607948,1.1815462315462313,estimated
0,2,0.2,2.503003144536414,1.133567133104266,1.1896123441973985,estimated
0,3,0.30000000000000004,2.5029950551598876,1.2008891938101702,1.1814438900949429,estimated
0,4,0.4,2.4946311033126487,1.2589837113189926,1.1770677604696091,estimated
0,5,0.5,2.504612333705116,1.311923399017405,1.1826997018581187,estimated
0,6,0.6000000000000001,2.512892108811965,1.3786534342457641,1.177465570350496,estimated
0,7,0.7000000000000001,2.503507876592469,1.4325539668800338,1.1930709815410647,estimated
0,8,0.8,2.4976311478277404,1.4979590373717517,1.1713104381012676,estimated
0,9,0.9,2.4995396221262016,1.5473710834419256,1.2042136407076152,estimated
0,10,1.0,2.502640044636566,1.6132379559145986,1.160524280258803,estimated
0,11,1.1,2.4944636022171642,1.6346562877746365,1.3214934990852096,estimated
0,12,1.2000000000000002,2.446729272017843,1.7334128812536793,1.1936742142282102,estimated
0,13,1.3,2.4831215516091296,1.7960399262162383,1.1796033530851862,estimated
0,14,1.4000000000000001,2.4826264674203973,1.8700550004006113,1.0389397655753192,estimated
0,15,1.5,2.4446342217059316,1.8684676438434693,1.3908295772730608,estimated
0,16,1.6,2.4531296370016826,1.9622135114050547,1.2134504445893608,estimated
0,17,1.7000000000000002,2.557747874377116,1.9692314391437575,1.4441542929543387,estimated
0,18,1.8,2.4697186207763,2.103094425677317,1.1589018060117884,estimated
0,19,1.9000000000000001,2.601349860275234,2.1690395823686712,1.153222400039295,estimated
0,20,2.0,2.4845226434259047,2.2178718221519187,1.2212039108134085,estimated
0,21,2.1,2.5757050328083513,2.2600615157279504,1.3403881771133728,estimated
0,22,2.2,2.4295057927862356,2.3492020469672985,1.185693096805755,estimated
0,23,2.3000000000000003,2.549839722313939,2.4075482297832718,1.145401435175598,estimated
0,24,2.4000000000000004,2.4984321123276185,2.444283094126409,1.2157011682309902,estimated
0,25,2.5,2.5031916739015654,2.519193114760749,1.1176296682916824,estimated
0,26,2.6,2.504511281503308,2.560375951384467,1.2271605288417597,estimated
0,27,2.7,2.509653592727815,2.643688433307713,1.1207765524791886,estimated
0,28,2.8000000000000003,2.5056119073037717,2.6903408259614947,1.2146194015087037,estimated
0,29,2.9000000000000004,2.4909253569342082,2.753412449806471,1.3345777620370483,estimated
