snr,mean_3d_error_mean,mean_3d_error_std,mean_3d_error_min,mean_3d_error_max,std_3d_error_mean,std_3d_error_std,max_3d_error_mean,max_3d_error_std,p95_3d_error_mean,p95_3d_error_std,target_id_count
0,0.1961,0.0883,0.0961,0.2822,0.1344,0.0623,0.5226,0.1451,0.4319,0.1741,4
5,0.1223,0.0564,0.0731,0.1742,0.0741,0.022,0.2807,0.0204,0.245,0.0398,4
10,0.1263,0.0586,0.0633,0.1908,0.0726,0.0363,0.3137,0.1664,0.2613,0.1158,4
20,0.104,0.0564,0.0533,0.1666,0.058,0.0454,0.2083,0.1209,0.194,0.1221,4
