snr,mean_3d_error_mean,mean_3d_error_std,mean_3d_error_min,mean_3d_error_max,std_3d_error_mean,std_3d_error_std,max_3d_error_mean,max_3d_error_std,p95_3d_error_mean,p95_3d_error_std,target_id_count
0,0.1767,0.1139,0.0961,0.2572,0.0972,0.0456,0.4809,0.2003,0.3502,0.2082,2
5,0.1206,0.0671,0.0731,0.168,0.0815,0.0327,0.2784,0.0296,0.2509,0.062,2
10,0.1255,0.0465,0.0926,0.1584,0.088,0.0194,0.4104,0.1265,0.3119,0.0228,2
20,0.113,0.0758,0.0594,0.1666,0.0637,0.0608,0.226,0.1497,0.2075,0.1617,2
