SNR,TVPlus_Error,TVX_Error,Difference
0,0.176663297266695,0.21547895793604233,0.03881566066934733
5,0.1205608788174854,0.1240069283215784,0.00344604950409301
10,0.1255111498692555,0.127045207297616,0.001534057428360519
20,0.11301804458288905,0.0949789845129185,-0.018039060069970553
