config,snr,mean_error,std_error,max_error,p95_error,n_targets
tvplus,0,0.176663297266695,0.09716969334902004,0.4808546393589585,0.3502092725433621,2
tvplus,5,0.1205608788174854,0.0814906340190636,0.27837016317534824,0.2508753803628846,2
tvplus,10,0.1255111498692555,0.0879841983468348,0.4103545818930569,0.31191853081963133,2
tvplus,20,0.11301804458288905,0.063666896395021,0.22600795633182075,0.207461166517388,2
tvx,0,0.21547895793604233,0.17165797563756885,0.564347369989018,0.5135083720306346,2
tvx,5,0.1240069283215784,0.06663815852768175,0.2830715054193597,0.2391120726687751,2
tvx,10,0.127045207297616,0.05730800329314935,0.2170404979072673,0.2107279072361377,2
tvx,20,0.0949789845129185,0.052233374969221154,0.19060876988024872,0.18052986091662174,2
