Configuration,Scenario,Mean_Error,Std_Error,Max_Error,P95_Error
TVPLUS,Average,0.13393834263408122,0.08257785552748485,0.3488968351897961,0.2801160875608165
TVPLUS,Best SNR,0.11301804458288905,0.063666896395021,0.22600795633182075,0.207461166517388
TVX,Average,0.1403775195170388,0.08695937810690527,0.31376703579897347,0.2859695532130423
TVX,Best SNR,0.0949789845129185,0.052233374969221154,0.19060876988024872,0.18052986091662174
